step;lr;trainingloss;trainingppl
 5280;1.56; 4.99;  147.61
 5290;1.56; 4.80;  121.67
 5300;1.55; 4.87;  129.99
 5310;1.55; 4.83;  125.69
 5320;1.55; 4.87;  130.18
 5330;1.55; 4.66;  106.09
 5340;1.55; 4.76;  116.29
 5350;1.55; 4.86;  129.35
 5360;1.55; 4.71;  110.92
 5370;1.54; 4.92;  137.55
 5380;1.54; 4.97;  144.24
 5390;1.54; 4.76;  116.84
 5400;1.54; 4.76;  117.25
 5410;1.54; 4.75;  116.00
 5420;1.54; 4.82;  124.37
 5430;1.54; 4.92;  136.98
 5440;1.53; 4.81;  122.31
 5450;1.53; 4.71;  110.55
 5460;1.53; 4.73;  112.85
 5470;1.53; 4.76;  117.04
 5480;1.53; 4.71;  111.39
 5490;1.53; 4.82;  124.08
 5500;1.53; 4.81;  123.18
 5510;1.52; 4.84;  126.87
 5520;1.52; 4.80;  121.68
 5530;1.52; 4.79;  120.44
 5540;1.52; 4.72;  111.88
 5550;1.52; 4.72;  112.06
 5570;1.52; 5.22;  185.54
 5580;1.51; 4.78;  118.76
 5590;1.51; 4.77;  117.42
 5600;1.51; 4.82;  123.94
 5610;1.51; 4.82;  124.05
 5620;1.51; 4.79;  120.43
 5630;1.51; 4.70;  109.93
 5640;1.51; 4.86;  128.80
 5650;1.51; 4.86;  129.25
 5660;1.50; 4.88;  131.88
 5670;1.50; 4.80;  121.73
 5680;1.50; 4.70;  109.70
 5690;1.50; 4.75;  115.86
 5700;1.50; 4.83;  125.68
 5710;1.50; 4.84;  126.14
 5720;1.50; 4.84;  126.17
 5730;1.49; 4.78;  119.63
 5740;1.49; 4.87;  130.41
 5750;1.49; 4.87;  130.31
 5760;1.49; 4.67;  107.10
 5770;1.49; 4.73;  113.70
 5780;1.49; 4.83;  124.60
 5790;1.49; 4.83;  125.47
 5800;1.49; 4.86;  129.10
 5810;1.48; 4.66;  105.17
 5820;1.48; 4.79;  120.72
 5830;1.48; 4.79;  120.57
 5840;1.48; 4.70;  109.81
 5850;1.48; 4.79;  120.23
 5860;1.48; 4.86;  129.16
 5870;1.48; 4.72;  111.94
 5880;1.48; 4.80;  121.05
 5890;1.47; 4.81;  122.79
 5900;1.47; 4.80;  121.94
 5910;1.47; 4.76;  116.82
 5920;1.47; 4.85;  127.15
 5930;1.47; 4.91;  136.02
 5940;1.47; 4.91;  135.96
 5950;1.47; 4.96;  142.41
 5960;1.47; 4.79;  120.62
 5970;1.46; 4.79;  120.86
 5980;1.46; 4.78;  119.16
 5990;1.46; 4.69;  109.18
 6000;1.46; 4.78;  118.77
 6010;1.46; 4.79;  119.81
 6020;1.46; 4.82;  124.09
 6030;1.46; 4.89;  133.61
 6040;1.46; 4.84;  126.01
 6050;1.45; 4.72;  111.61
 6060;1.45; 4.75;  115.99
 6070;1.45; 4.59;   98.59
 6080;1.45; 4.73;  113.12
 6090;1.45; 4.75;  115.77
 6100;1.45; 4.77;  117.35
 6110;1.45; 4.65;  104.52
 6120;1.45; 4.75;  116.10
 6130;1.45; 4.78;  118.66
 6140;1.44; 4.88;  132.16
 6150;1.44; 4.80;  121.72
 6160;1.44; 4.72;  112.00
 6170;1.44; 4.69;  109.07
 6180;1.44; 4.72;  111.87
 6190;1.44; 4.64;  103.19
 6200;1.44; 4.70;  109.98
 6210;1.44; 4.72;  112.56
 6220;1.43; 4.76;  117.10
 6230;1.43; 4.77;  117.95
 6240;1.43; 4.70;  110.40
 6250;1.43; 4.60;   98.99
 6260;1.43; 4.60;   99.37
 6270;1.43; 4.69;  109.33
 6280;1.43; 4.69;  108.51
 6290;1.43; 4.66;  105.37
 6300;1.43; 4.70;  109.89
 6310;1.42; 4.63;  102.61
 6320;1.42; 4.79;  119.91
 6330;1.42; 4.77;  117.61
 6340;1.42; 4.67;  106.94
 6350;1.42; 4.63;  102.65
 6360;1.42; 4.76;  116.21
 6370;1.42; 4.74;  113.94
 6380;1.42; 4.71;  111.33
 6390;1.42; 4.62;  101.48
 6400;1.41; 4.55;   95.08
 6410;1.41; 4.58;   97.70
 6420;1.41; 4.65;  104.63
 6430;1.41; 4.80;  121.14
 6440;1.41; 4.59;   98.32
 6450;1.41; 4.58;   97.89
 6460;1.41; 4.73;  113.28
 6470;1.41; 4.73;  113.25
 6480;1.41; 4.65;  105.04
 6490;1.40; 4.81;  123.02
 6500;1.40; 4.75;  115.09
 6510;1.40; 4.65;  104.49
 6520;1.40; 4.61;  100.53
 6530;1.40; 4.57;   97.03
 6540;1.40; 4.59;   98.83
 6550;1.40; 4.69;  108.39
 6560;1.40; 4.71;  110.50
 6570;1.40; 4.68;  107.89
 6580;1.39; 4.61;  100.96
 6590;1.39; 4.53;   92.32
 6600;1.39; 4.56;   95.61
 6610;1.39; 4.42;   83.36
 6620;1.39; 4.50;   89.78
 6630;1.39; 4.65;  104.26
 6640;1.39; 4.55;   95.01
 6650;1.39; 4.66;  105.99
 6660;1.39; 4.62;  101.49
 6670;1.39; 4.83;  124.98
 6680;1.38; 4.63;  102.77
 6690;1.38; 4.69;  109.40
 6700;1.38; 4.65;  104.63
 6710;1.38; 4.71;  110.64
 6720;1.38; 4.50;   89.57
 6730;1.38; 4.58;   97.59
 6740;1.38; 4.70;  109.83
 6750;1.38; 4.55;   94.41
 6760;1.38; 4.76;  116.24
 6770;1.38; 4.81;  123.12
 6780;1.37; 4.59;   98.17
 6790;1.37; 4.60;   99.93
 6800;1.37; 4.59;   98.34
 6810;1.37; 4.66;  105.33
 6820;1.37; 4.76;  116.86
 6830;1.37; 4.65;  104.95
 6840;1.37; 4.55;   94.22
 6850;1.37; 4.58;   97.70
 6860;1.37; 4.61;  100.47
 6870;1.37; 4.54;   93.47
 6880;1.36; 4.68;  107.90
 6890;1.36; 4.66;  105.29
 6900;1.36; 4.67;  106.99
 6910;1.36; 4.64;  103.44
 6920;1.36; 4.65;  104.12
 6930;1.36; 4.55;   94.98
 6940;1.36; 4.57;   96.54
 6960;1.36; 5.07;  159.37
